"","namn","stad","citizen","religious","experience","sweden","poland","iraq","somalia","woman","skilledjob","invited","city1","city2","city3","city4","city5","city6","city7","immigrant","time"
"224","Antoni Kowalski","Stockholm",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0.117304696409813
"225","Sarah Amari","Stockholm",1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.151027058764026
"226","Ahmed Amari","Stockholm",0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.142779779459235
"227","Awa Zakaria","Stockholm",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.136254992773181
"228","Ahmed Amari","Stockholm",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.130964093697707
"229","Khalid Zakaria","Stockholm",0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0.126587311281529
"230","Malin Svensson","Stockholm",1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.123929667264171
"231","Khalid Zakaria","Stockholm",0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0.122249306655486
"232","Sarah Amari","Stockholm",0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0.121090891187465
"233","Antoni Kowalski","Stockholm",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.130952472552741
"234","Julia Kowalski","Stockholm",0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.129037278308586
"235","Julia Kowalski","Stockholm",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.127527895426146
"236","Awa Zakaria","Stockholm",0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.126307698486102
"237","Khalid Zakaria","Stockholm",1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.125300844323257
"238","Malin Svensson","Stockholm",1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0.124455878916327
"239","Antoni Kowalski","Stockholm",1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.123736663263429
"240","Erik Svensson","Stockholm",1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.126166638576469
"241","Erik Svensson","Stockholm",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.12701346330535
"242","Julia Kowalski","Stockholm",0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.127932979925323
"243","Awa Zakaria","Stockholm",1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.128934968046536
"244","Ahmed Amari","Stockholm",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.130031043910576
"245","Khalid Zakaria","Stockholm",1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0.131235112784698
"246","Ahmed Amari","Stockholm",1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.0538672726188155
"247","Antoni Kowalski","Stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0544208648611387
"248","Ahmed Amari","Stockholm",0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.0550058757647992
"249","Julia Kowalski","Stockholm",1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.0514373306509248
"250","Sarah Amari","Stockholm",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.0519677829420656
"251","Antoni Kowalski","Stockholm",0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0568781872624354
"252","Awa Zakaria","Stockholm",0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0576342078681622
"253","Julia Kowalski","Stockholm",1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0.0584389202665006
"254","Julia Kowalski","Stockholm",0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.0592971850021727
"255","Khalid Zakaria","Stockholm",0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0.0535609527858317
"256","Antoni Kowalski","Stockholm",0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0543065235674368
"257","Erik Svensson","Stockholm",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0551072129932092
"258","Antoni Kowalski","Stockholm",1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0559693678941645
"259","Sarah Amari","Stockholm",0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.0569003484336006
"260","Awa Zakaria","Stockholm",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0579087387501322
"261","Sarah Amari","Stockholm",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.0590046124240183
"262","Khalid Zakaria","Stockholm",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.0409921165421592
"263","Malin Svensson","Stockholm",1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0411054934470206
"264","Ahmed Amari","Stockholm",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.041228449210953
"265","Sarah Amari","Stockholm",1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.125256326067595
"266","Julia Kowalski","Stockholm",1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.121857456137658
"267","Erik Svensson","Stockholm",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.142423070113381
"268","Awa Zakaria","Stockholm",0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.138094978290595
"269","Ahmed Amari","Stockholm",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.13406180337855
"270","Julia Kowalski","Stockholm",1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.130242581172525
"271","Awa Zakaria","Stockholm",1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.127971278068696
"272","Malin Svensson","Stockholm",1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.125577537048893
"273","Sarah Amari","Stockholm",0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0.134439324116303
"274","Sarah Amari","Stockholm",1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0.133472648563915
"275","Antoni Kowalski","Stockholm",1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.13261269410963
"276","Awa Zakaria","Stockholm",1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.131842712239214
"277","Khalid Zakaria","Stockholm",1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.131149284837926
"278","Ahmed Amari","Stockholm",1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.130521535591405
"279","Khalid Zakaria","Stockholm",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.129950555331725
"280","Antoni Kowalski","Stockholm",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.129428976541408
"281","Sarah Amari","Stockholm",1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.128950653720101
"282","Ahmed Amari","Stockholm",0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.128510420109194
"283","Awa Zakaria","Stockholm",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.128488035401485
"284","Ahmed Amari","Stockholm",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.135285137151305
"285","Khalid Zakaria","Stockholm",0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0.135285137151422
"286","Malin Svensson","Stockholm",1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0.135285137151538
"287","Khalid Zakaria","Stockholm",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.135285137151655
"288","Sarah Amari","Stockholm",0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0.135472712532286
"289","Antoni Kowalski","Stockholm",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.135664675649091
"290","Julia Kowalski","Stockholm",0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.135861182279973
"291","Julia Kowalski","Stockholm",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.136062395665262
"292","Awa Zakaria","Stockholm",0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.136268486959985
"293","Khalid Zakaria","Stockholm",1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.136479635719434
"294","Malin Svensson","Stockholm",1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0.136696030420917
"295","Antoni Kowalski","Stockholm",1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.138650363920775
"296","Erik Svensson","Stockholm",1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0.142576978279209
"297","Erik Svensson","Stockholm",1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0452026349091768
"298","Julia Kowalski","Stockholm",0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.0452189888965452
"299","Awa Zakaria","Stockholm",1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0452348903137826
"300","Ahmed Amari","Stockholm",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.0452503576907166
"301","Khalid Zakaria","Stockholm",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.0452654085592253
"302","Ahmed Amari","Stockholm",1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0.0452800595195274
"303","Antoni Kowalski","Stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0452943263012573
"304","Ahmed Amari","Stockholm",0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.0517727770805965
"305","Julia Kowalski","Stockholm",1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0.0519596180646773
"306","Sarah Amari","Stockholm",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.0521488921647937
"307","Antoni Kowalski","Stockholm",0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0513216344906346
"308","Awa Zakaria","Stockholm",0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0515091970684161
"309","Julia Kowalski","Stockholm",1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.0524252732299764
"310","Julia Kowalski","Stockholm",0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.0607109004581595
"311","Khalid Zakaria","Stockholm",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.0624552405532093
"312","Antoni Kowalski","Stockholm",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0643272479104923
"313","Erik Svensson","Stockholm",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0663414707601364
"314","Antoni Kowalski","Stockholm",1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0685147550546943
"315","Sarah Amari","Stockholm",0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.0724389721473501
"316","Awa Zakaria","Stockholm",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0750935495314498
"317","Sarah Amari","Stockholm",1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0.0368812833243212
"318","Khalid Zakaria","Stockholm",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.0779866162981163
"319","Malin Svensson","Stockholm",1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0377232357683188
"320","Ahmed Amari","Stockholm",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.038626381333608
"321","Sarah Amari","Stockholm",1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0.0395976428727314
"322","Julia Kowalski","Stockholm",1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.0350977777883789
"323","Erik Svensson","Stockholm",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0360043485567979
"324","Awa Zakaria","Stockholm",0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0283842475112055
"325","Ahmed Amari","Stockholm",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.0286820627783854
"326","Julia Kowalski","Stockholm",1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.0289986585553481
"327","Awa Zakaria","Stockholm",1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0293358691524597
"328","Malin Svensson","Stockholm",1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0222608759266191
"329","Sarah Amari","Stockholm",0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0.0296957757993109
"330","Sarah Amari","Stockholm",1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0.03008074963661
"331","Antoni Kowalski","Stockholm",1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0221506969109197
"332","Awa Zakaria","Stockholm",1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0220319947244763
"333","Khalid Zakaria","Stockholm",1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0.014304651678382
"334","Ahmed Amari","Stockholm",1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.0219037405785512
"335","Khalid Zakaria","Stockholm",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.021764733170134
"336","Antoni Kowalski","Stockholm",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0216135609401368
"337","Sarah Amari","Stockholm",1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.0462271362079922
"338","Ahmed Amari","Stockholm",0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.0462722178993727
"339","Awa Zakaria","Stockholm",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0463186958949677
"340","Ahmed Amari","Stockholm",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.0463666360862817
"341","Khalid Zakaria","Stockholm",0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.0464161085769636
"342","Malin Svensson","Stockholm",1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0541151325848655
"343","Khalid Zakaria","Stockholm",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.0541264346139119
"344","Sarah Amari","Stockholm",0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.155036121608499
"345","Antoni Kowalski","Stockholm",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.150741744510982
"346","Julia Kowalski","Stockholm",0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.146783238965657
"347","Julia Kowalski","Stockholm",0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.143034716856238
"348","Awa Zakaria","Stockholm",0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.139479901669971
"349","Khalid Zakaria","Stockholm",1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.13612222816843
"350","Malin Svensson","Stockholm",1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.155760378978121
"351","Antoni Kowalski","Stockholm",1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0.150686228459975
"352","Erik Svensson","Stockholm",1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.170387921437224
"353","Erik Svensson","Stockholm",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.165069185050175
"354","Julia Kowalski","Stockholm",0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.160301225683692
"355","Awa Zakaria","Stockholm",1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0.156002702109628
"356","Ahmed Amari","Stockholm",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.152870305978321
"357","Khalid Zakaria","Stockholm",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.149729976117231
"358","Ahmed Amari","Stockholm",1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.161838050255224
"359","Antoni Kowalski","Stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.161557441526638
"360","Ahmed Amari","Stockholm",0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.163218300981843
"361","Julia Kowalski","Stockholm",1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.162897447310411
"362","Sarah Amari","Stockholm",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.162606648486206
"363","Antoni Kowalski","Stockholm",0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.162707659877477
"364","Awa Zakaria","Stockholm",0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.161476997828807
"365","Julia Kowalski","Stockholm",1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.165076691030415
"366","Julia Kowalski","Stockholm",0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.159365604404356
"367","Khalid Zakaria","Stockholm",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.159732382555913
"368","Antoni Kowalski","Stockholm",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.160123030286947
"369","Erik Svensson","Stockholm",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.16831144683644
"370","Antoni Kowalski","Stockholm",1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.155566793698763
"371","Sarah Amari","Stockholm",0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0.157524535552682
"372","Awa Zakaria","Stockholm",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.159585372863519
"373","Sarah Amari","Stockholm",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.161757669422577
"374","Khalid Zakaria","Stockholm",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0.164050718868367
"375","Malin Svensson","Stockholm",1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0833095098972821
"376","Ahmed Amari","Stockholm",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.0814159110440246
"377","Sarah Amari","Stockholm",1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0.16647487760134
"378","Julia Kowalski","Stockholm",1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0.0796295912809746
"379","Erik Svensson","Stockholm",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0779416851272508
"380","Awa Zakaria","Stockholm",0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0763442777653809
"381","Ahmed Amari","Stockholm",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.0748302809412313
"382","Julia Kowalski","Stockholm",1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.0733933278102785
"383","Awa Zakaria","Stockholm",1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0941979421969758
"384","Malin Svensson","Stockholm",1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0923609430055706
"385","Sarah Amari","Stockholm",0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0.0906112532049282
"386","Sarah Amari","Stockholm",1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.110144839115805
"387","Antoni Kowalski","Stockholm",1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.128792150600818
"388","Awa Zakaria","Stockholm",1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.126350757474424
"389","Khalid Zakaria","Stockholm",1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0.124015327085161
"390","Ahmed Amari","Stockholm",1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.121779107378546
"391","Khalid Zakaria","Stockholm",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.119635908032509
"392","Antoni Kowalski","Stockholm",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.117580043231439
"393","Sarah Amari","Stockholm",1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.10550283846243
"394","Ahmed Amari","Stockholm",0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.102797637481094
"395","Awa Zakaria","Stockholm",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.100227696548246
"396","Ahmed Amari","Stockholm",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.0977831185872094
"397","Khalid Zakaria","Stockholm",0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.0954549491077614
"398","Malin Svensson","Stockholm",1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.0932350665804153
"399","Khalid Zakaria","Stockholm",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.091116087796544
"400","Sarah Amari","Stockholm",0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.0911160877946442
"401","Antoni Kowalski","Stockholm",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0911160877929986
"402","Julia Kowalski","Stockholm",0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.0911160877916347
"403","Julia Kowalski","Stockholm",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.0911160877905837
"404","Awa Zakaria","Stockholm",0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0911160877898816
"405","Khalid Zakaria","Stockholm",1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.0911160877895704
"406","Malin Svensson","Stockholm",1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0.091116087773564
"407","Antoni Kowalski","Stockholm",1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0911160877710828
"408","Erik Svensson","Stockholm",1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0911160877688842
"409","Erik Svensson","Stockholm",1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0.0911160877670082
"410","Julia Kowalski","Stockholm",0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.0911160877655035
"411","Awa Zakaria","Stockholm",1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0911160877705752
"412","Ahmed Amari","Stockholm",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.0911160877700017
"413","Khalid Zakaria","Stockholm",1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0.0911160877700181
"414","Ahmed Amari","Stockholm",1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.091116087770735
"415","Antoni Kowalski","Stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0699826562703625
"416","Ahmed Amari","Stockholm",0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.070518677935275
"417","Julia Kowalski","Stockholm",1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0.0911160877722927
"418","Sarah Amari","Stockholm",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.0710834984248735
"419","Antoni Kowalski","Stockholm",0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.091116087774871
"420","Awa Zakaria","Stockholm",0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0911160877787058
"421","Julia Kowalski","Stockholm",1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.0716795027155213
"422","Julia Kowalski","Stockholm",0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0.0723093466142574
"423","Khalid Zakaria","Stockholm",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.0729759963179877
"424","Antoni Kowalski","Stockholm",0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0736827751251716
"425","Erik Svensson","Stockholm",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0662624328944544
"426","Antoni Kowalski","Stockholm",1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.066799477075605
"427","Sarah Amari","Stockholm",0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0.067372057387497
"428","Awa Zakaria","Stockholm",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0589740760758935
"429","Sarah Amari","Stockholm",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.082049900549128
"430","Khalid Zakaria","Stockholm",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.0820442302944013
"431","Malin Svensson","Stockholm",1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.082038221848263
"432","Ahmed Amari","Stockholm",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.0820318440245283
"433","Sarah Amari","Stockholm",1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0.0820250616809823
"434","Julia Kowalski","Stockholm",1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.0820178350715478
"435","Erik Svensson","Stockholm",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0820101190697261
"436","Awa Zakaria","Stockholm",0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0820018622136912
"437","Ahmed Amari","Stockholm",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.0819930055746732
"438","Julia Kowalski","Stockholm",1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.125157758107347
"439","Awa Zakaria","Stockholm",1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.121832146595598
"440","Malin Svensson","Stockholm",1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.118699578947313
"441","Sarah Amari","Stockholm",0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.115743720644637
"442","Sarah Amari","Stockholm",1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0.112950029489849
"443","Antoni Kowalski","Stockholm",1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.110305516338809
"444","Awa Zakaria","Stockholm",1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.113309590700123
"445","Khalid Zakaria","Stockholm",1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.111234617660536
